,ID,acceleration,sprint_speed,sho,heading_accuracy,pas,ball_control,dribbling,agility,def,composure,stamina,strength,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,jumping
61,175943,93,87,82,35,79,88,89,94,36,81,75,42,7,10,8,10,4,60
62,172879,71,84,52,87,55,58,58,62,87,82,74,86,6,8,5,12,5,87
63,168609,67,74,49,83,60,72,65,61,88,84,65,80,12,6,10,13,12,82
64,165153,77,78,82,78,78,86,82,77,22,79,73,78,13,11,5,5,7,70
65,162895,65,62,77,74,88,86,80,65,61,92,80,64,6,10,8,15,15,68
66,156616,85,79,76,41,83,90,90,88,25,86,64,60,15,6,9,7,10,34
67,120533,65,70,51,80,57,62,58,63,86,77,62,84,8,15,5,9,10,76
68,48940,40,44,87,19,76,22,12,49,42,70,32,65,82,87,76,83,81,51
69,208418,87,89,79,53,78,86,91,91,29,75,73,59,9,11,9,10,10,68
70,201535,80,85,45,83,61,77,57,58,84,82,68,85,11,11,9,5,14,80
71,201153,79,87,81,83,71,84,83,65,24,80,73,82,4,5,4,4,5,79
72,200145,63,61,68,74,74,78,69,66,84,86,85,85,13,14,16,12,12,87
73,198219,94,86,74,56,82,90,88,96,25,78,75,44,8,4,14,9,10,53
74,193747,74,70,75,61,86,86,80,77,65,75,84,75,14,12,5,10,13,61
75,193301,84,87,83,72,71,84,85,87,38,86,80,79,11,6,9,5,6,76
76,193041,54,53,78,11,72,19,16,60,53,49,39,75,89,78,72,80,88,74
77,192883,88,84,79,53,80,87,87,89,54,79,86,63,5,11,14,5,7,71
78,192593,51,54,79,13,79,19,11,42,53,65,32,80,84,79,79,85,87,75
79,192563,46,52,84,13,74,22,16,52,49,62,43,68,85,84,74,85,83,73
80,192448,38,50,83,11,87,18,17,37,45,62,35,79,84,83,87,81,86,79
81,190547,53,58,32,85,44,59,51,34,86,79,72,90,10,14,5,8,10,82
82,189332,93,93,69,63,75,83,80,90,81,75,90,60,13,15,13,6,13,81
83,186942,73,70,74,49,83,88,87,83,64,86,71,74,11,14,5,5,13,62
84,184432,78,79,55,76,75,79,69,75,86,78,88,73,13,9,10,6,5,76
85,183898,86,86,77,53,82,85,86,92,47,82,78,60,10,7,11,12,11,72
86,180206,74,74,71,60,86,89,86,79,67,84,78,65,7,7,13,7,8,61
87,173210,78,78,72,68,83,85,84,81,76,84,81,70,4,3,4,2,4,68
88,172871,68,66,65,81,73,74,69,62,85,81,79,81,6,10,9,12,7,83
89,170890,79,78,67,73,77,77,73,76,83,82,94,78,8,11,5,10,14,84
90,167628,45,50,84,12,77,15,12,51,48,57,37,76,82,84,77,85,87,72
91,164169,75,82,62,68,77,81,77,74,82,88,91,74,11,15,9,9,5,63
92,139720,61,64,54,84,65,68,63,60,84,81,74,88,10,9,5,8,6,71
93,137186,64,76,34,72,57,65,64,51,88,82,46,87,4,2,4,2,4,85
94,225508,75,80,42,81,59,68,63,63,84,74,78,85,14,14,10,9,8,84
95,220834,83,82,82,50,83,86,83,78,39,82,73,61,13,9,6,12,10,57
96,218667,85,78,72,51,81,89,91,88,45,84,80,54,9,10,14,12,9,53
97,212218,68,70,50,85,66,71,55,49,86,74,71,84,10,11,5,14,5,77
98,211117,77,76,81,75,77,85,83,74,64,86,89,71,7,6,9,11,8,69
99,208722,94,92,78,53,75,84,86,89,36,78,82,72,10,10,15,7,14,75
100,204963,76,86,45,65,73,83,76,82,83,74,84,75,13,13,15,9,15,76
101,202166,76,79,80,65,82,87,88,81,34,81,68,67,11,13,5,13,8,76
102,201399,75,80,83,84,61,77,74,74,26,82,70,74,13,9,5,7,9,92
103,201024,69,76,26,79,43,59,54,50,85,78,73,93,7,11,7,13,5,77
104,200316,45,51,81,14,83,22,20,50,48,20,31,67,83,81,83,82,86,64
105,192774,78,81,19,80,42,65,54,68,86,75,78,84,8,6,8,15,12,86
106,192227,64,69,57,81,63,70,53,66,83,74,74,81,11,9,15,10,6,84
107,191740,76,70,72,60,81,86,81,84,78,84,87,70,9,12,15,9,8,63
108,191202,62,66,70,77,77,78,72,56,80,84,89,89,7,15,12,14,9,71
109,189712,65,68,74,68,82,85,76,65,78,85,82,83,7,12,11,6,7,53
110,189505,84,80,77,55,77,87,84,84,37,78,78,56,5,11,12,15,9,67
111,189117,44,52,83,17,73,23,16,51,48,58,36,74,84,83,73,79,85,74
112,184120,42,41,72,61,79,83,75,53,78,86,76,77,13,10,9,11,8,66
113,181458,81,87,80,78,78,83,83,78,42,80,86,75,6,7,10,9,6,82
114,180930,67,61,83,84,70,80,76,57,32,79,70,82,9,11,13,15,15,66
115,180403,91,86,76,29,81,86,87,89,49,79,87,62,14,12,13,7,13,46
116,179846,60,68,74,76,80,81,78,59,80,84,78,89,11,9,5,15,8,68
117,179783,38,47,86,15,52,24,15,39,43,61,32,79,83,86,52,85,87,72
118,178750,59,54,83,13,76,14,15,62,56,39,43,73,86,83,76,82,85,73
119,178088,71,63,76,59,84,87,82,85,32,85,77,43,9,10,14,5,8,72
120,177509,72,76,42,80,54,65,64,59,85,78,68,89,7,4,8,7,11,82
121,167397,73,66,84,90,68,82,74,85,37,87,68,75,10,13,6,9,5,92
122,165229,74,76,41,81,62,67,62,68,85,75,75,76,13,11,9,11,7,82
123,164468,62,63,58,86,52,63,58,62,84,75,69,80,5,12,9,5,12,82
124,146530,79,84,68,72,81,86,84,85,77,82,76,55,5,11,9,6,7,80
125,143076,94,86,77,36,80,87,89,92,31,84,78,48,8,11,12,9,6,70
126,106231,69,70,83,94,65,82,79,53,46,87,64,85,14,10,9,15,9,94
127,231747,89,90,80,76,74,87,86,78,47,80,83,74,13,5,7,11,6,71
128,231443,93,89,76,43,75,85,92,90,33,73,74,47,6,6,14,10,13,59
129,220971,82,66,71,42,77,88,90,90,62,79,88,59,7,14,15,14,9,56
130,216460,68,72,45,79,51,56,47,57,84,73,68,84,9,11,7,10,15,90
131,215316,54,48,79,12,75,15,15,58,51,30,42,73,85,79,75,82,86,68
132,213565,86,84,78,54,80,86,88,85,62,79,79,69,11,15,13,7,14,72
133,212814,71,75,70,55,80,85,84,81,70,85,84,69,6,15,8,8,8,63
134,212190,51,76,41,85,51,63,42,33,83,72,65,94,15,7,14,7,15,38
135,210257,64,63,76,14,82,30,21,60,63,58,38,68,81,76,82,78,87,58
136,209658,85,85,74,75,80,82,80,76,78,81,86,68,13,8,15,11,9,67
137,209499,73,75,65,75,76,80,75,71,83,80,89,80,13,12,6,8,8,77
138,209331,93,93,73,59,74,87,87,86,45,75,77,61,14,14,9,11,14,70
139,208596,80,83,81,84,57,78,78,79,29,78,84,85,13,7,12,14,7,83
140,208448,78,72,74,45,83,85,82,85,30,79,76,63,13,7,9,15,11,53
141,207865,69,72,38,80,68,76,65,66,84,79,75,74,6,6,12,10,13,85
142,207566,52,53,57,73,77,78,79,45,80,89,84,88,6,6,5,14,14,68
143,205600,72,75,64,72,71,75,69,68,82,74,79,78,15,10,14,12,15,87
144,204485,85,80,74,45,78,88,88,92,28,82,75,51,15,9,13,11,6,62
145,203376,69,76,60,80,67,73,70,57,83,82,76,92,13,10,13,11,11,79
146,201942,77,77,81,72,79,85,87,82,46,78,86,76,8,11,9,6,10,81
147,200888,67,68,62,76,69,77,76,58,82,84,87,89,9,7,13,14,15,67
148,199715,81,79,77,65,79,85,86,75,28,70,81,81,11,16,8,14,16,70
149,199482,60,64,79,16,73,21,15,65,62,55,36,73,86,79,73,79,85,82
150,198176,68,68,41,78,58,71,61,61,85,82,69,80,8,10,7,14,13,71
151,198009,57,56,85,12,71,23,19,70,56,58,30,52,80,85,71,78,90,75
152,197061,60,73,46,85,68,71,65,58,84,75,73,81,11,15,10,7,10,67
153,193474,78,75,60,69,70,79,75,75,83,80,88,76,8,6,8,12,13,85
154,192629,84,79,83,78,73,84,85,88,29,73,70,59,12,16,9,12,13,68
155,192387,81,85,84,75,61,80,79,77,38,81,77,74,6,8,15,12,6,77
156,192366,62,64,56,83,59,64,41,69,83,84,76,80,12,5,8,11,12,86
157,191180,69,72,75,63,83,87,88,79,58,79,67,64,14,9,6,10,12,49
158,189513,55,50,77,63,87,83,78,69,61,74,76,72,5,9,12,14,8,55
159,189358,76,65,68,42,76,85,87,92,34,81,80,39,11,9,8,9,13,66
160,189125,78,78,77,60,82,85,83,81,67,82,87,69,10,14,7,15,14,69
161,189068,54,64,83,93,57,73,64,38,43,78,84,89,6,12,15,11,8,55
162,188377,86,93,63,73,73,76,77,70,80,75,90,77,12,6,16,15,8,83
163,188152,75,74,75,54,79,84,81,86,43,83,76,36,12,10,15,12,12,66
164,187936,52,61,67,79,73,82,72,43,80,85,86,91,7,16,16,16,13,75
165,186547,72,69,51,81,67,73,43,72,84,76,70,81,5,11,12,6,12,83
166,185239,72,79,39,83,62,72,64,64,85,78,68,78,11,8,11,12,15,82
167,185020,90,90,78,65,71,84,82,85,35,79,92,55,8,5,14,11,11,73
168,184826,64,65,76,61,82,85,82,73,78,82,89,62,15,6,8,10,7,56
169,184431,88,81,81,34,79,87,86,92,27,88,77,42,6,3,6,3,3,34
170,184144,84,79,74,54,81,84,85,87,39,80,69,46,8,11,9,7,5,68
171,181783,68,76,78,90,71,77,74,67,65,80,87,87,10,8,5,8,15,85
172,180819,74,72,75,67,80,86,85,83,65,80,90,67,6,15,14,8,11,73
173,179784,62,65,47,84,63,68,60,63,83,82,68,81,14,6,9,10,7,82
174,178562,71,67,70,45,85,85,83,84,62,82,66,67,13,8,7,7,10,58
175,178005,53,57,81,11,80,23,20,61,55,53,45,77,85,81,80,79,82,79
176,177683,48,54,82,10,83,25,15,55,51,57,45,68,81,82,83,80,83,69
177,177388,76,72,78,59,85,90,89,79,37,83,73,74,11,15,9,14,12,48
178,177358,67,68,62,71,76,84,74,73,79,83,89,77,6,11,12,14,7,70
179,176769,66,65,85,79,75,88,84,77,35,87,71,63,12,11,7,8,5,69
180,173771,73,84,69,74,76,76,74,66,81,82,79,79,14,11,14,6,12,76
181,170481,39,46,64,85,66,73,62,57,84,79,74,85,14,6,13,13,14,79
182,167905,88,87,66,64,75,81,82,75,78,82,90,85,16,11,10,7,7,70
183,163587,62,60,82,16,82,40,12,62,61,52,35,62,83,82,82,80,86,60
184,162240,75,77,72,69,77,86,87,82,75,89,77,92,16,14,11,16,14,77
185,161956,73,67,69,60,85,88,86,80,63,80,74,66,5,4,10,8,7,67
186,159147,67,69,65,80,69,74,62,64,86,80,79,79,6,7,12,11,14,84
187,158963,70,68,63,54,81,85,77,76,75,80,82,70,14,12,7,12,7,62
188,146748,34,52,84,10,76,23,11,48,44,62,42,66,77,84,76,83,80,68
189,146562,68,63,76,58,85,87,85,79,61,88,68,59,6,9,5,7,15,70
190,142754,67,64,53,68,71,80,58,72,82,86,76,74,6,10,8,5,5,75
191,139869,70,69,78,32,86,85,82,77,38,83,62,57,9,5,13,11,12,30
192,139068,84,78,79,46,81,86,87,92,24,79,74,62,5,10,13,6,6,39
193,53302,69,68,64,81,73,78,64,68,81,84,78,83,10,7,13,10,9,78
194,24630,50,63,83,13,82,23,10,50,57,60,34,72,80,83,82,82,82,73
195,20775,85,82,76,41,81,87,89,91,18,79,69,54,12,14,10,5,15,63
196,20289,61,64,82,72,80,82,78,58,70,83,73,92,13,14,6,12,8,63
197,5479,59,57,74,25,58,23,25,62,58,70,43,70,86,74,58,80,85,77
198,230621,46,54,78,12,72,28,24,64,50,68,34,72,88,78,72,78,88,72
199,222492,93,94,77,72,72,84,87,89,35,76,80,70,8,12,9,9,14,66
200,219809,75,72,49,72,70,80,78,66,81,74,86,82,11,15,11,14,10,78
201,219683,79,69,76,82,78,80,77,77,76,74,86,81,7,10,14,9,14,89
202,216594,79,80,78,49,77,88,88,84,31,85,74,78,15,9,8,14,15,69
203,216451,84,77,71,60,82,84,79,83,72,83,79,72,14,13,9,10,12,76
204,215785,93,92,76,58,72,89,87,82,29,79,73,76,12,8,13,8,15,66
205,213331,64,78,27,80,58,64,55,48,82,70,60,91,11,8,7,9,14,71
206,212404,84,84,76,48,77,87,86,85,34,83,83,63,14,15,10,13,12,49
207,212188,93,92,79,74,65,82,81,79,28,70,78,59,9,9,8,15,9,77
208,211575,71,66,71,69,78,80,81,67,71,78,78,85,12,9,6,14,8,58
209,211300,92,89,79,70,71,84,88,85,41,79,79,76,9,8,8,15,11,80
210,208808,86,91,81,60,76,82,83,87,29,78,81,61,10,13,6,7,13,82
211,208618,85,82,73,52,81,83,82,81,43,72,90,57,9,16,9,9,7,67
212,208421,72,73,69,83,78,84,82,76,77,80,80,76,7,13,12,10,9,79
213,207863,65,70,41,82,59,64,57,63,83,74,83,78,9,11,14,9,7,92
214,207664,76,78,79,76,64,81,79,76,24,80,67,74,12,12,8,5,8,77
215,207471,62,66,77,68,80,88,86,73,43,83,72,79,14,15,13,9,7,49
216,207410,85,77,69,42,82,87,88,76,61,72,83,65,9,5,6,7,7,63
217,206652,50,53,80,11,78,12,14,62,52,29,31,67,79,80,78,82,83,63
218,206545,73,73,74,76,80,84,81,78,65,73,79,63,9,14,12,7,8,83
219,205452,73,75,40,78,64,68,59,63,82,73,65,83,14,15,10,12,8,74
220,204970,88,77,76,69,78,83,86,81,36,80,71,62,8,11,14,10,9,64
221,204639,60,65,35,81,52,66,47,60,83,75,60,77,14,13,14,13,12,85
222,204525,70,72,56,78,63,70,53,67,82,72,72,78,12,16,11,13,11,89
223,204277,76,78,61,32,76,82,72,77,73,79,92,69,15,8,7,11,9,77
224,203551,86,84,79,70,78,84,79,87,76,79,90,68,9,8,10,11,10,74
225,203483,73,73,80,74,74,81,72,67,67,80,92,74,12,6,13,16,10,74
226,202857,91,92,77,48,74,82,87,86,33,77,73,68,10,12,7,11,10,75
227,202652,94,92,71,38,74,84,85,91,46,74,75,64,15,12,12,15,9,60
228,202651,84,80,75,50,81,89,87,86,23,76,77,50,15,15,9,8,9,50
229,202477,93,93,70,40,75,87,89,93,26,76,78,59,12,16,14,11,11,72
230,202335,70,74,63,83,71,70,66,56,81,77,80,87,11,14,6,13,9,77
231,201862,70,71,59,82,69,68,67,72,81,74,79,82,7,8,12,15,10,85
232,200949,95,92,74,50,75,82,88,94,45,79,68,56,9,10,14,7,14,71
233,200104,87,86,83,65,75,82,85,79,25,78,80,62,11,13,13,6,10,65
234,199845,65,60,50,77,58,67,57,33,85,83,69,84,11,9,9,13,11,68
235,199503,48,51,66,62,79,80,70,53,72,74,78,76,7,8,11,7,13,39
236,198164,86,76,75,41,81,83,88,89,53,80,78,67,16,16,9,14,9,69
237,197965,83,76,77,45,81,82,82,87,61,85,90,59,15,14,9,9,15,67
238,195093,65,68,82,84,65,80,79,60,37,73,67,87,15,14,16,15,8,72
239,194794,81,81,78,69,81,84,86,77,37,74,82,78,9,5,6,5,14,68
240,193698,47,51,82,16,64,17,19,45,49,52,39,69,82,82,64,81,84,73
241,193532,74,74,48,68,68,74,63,78,81,78,79,77,14,7,9,6,6,92
242,193469,54,61,42,77,64,71,53,56,83,72,74,85,12,8,6,6,14,78
243,193348,87,79,77,37,78,83,85,88,46,79,74,62,13,12,12,11,11,63
244,193082,90,92,74,58,75,83,90,91,61,76,75,57,5,5,13,6,9,75
245,190483,96,88,77,51,77,83,85,91,32,73,74,63,13,15,9,12,5,61
246,190456,82,83,61,67,71,76,76,83,80,75,87,71,10,11,13,15,7,69
247,189560,49,51,73,81,73,80,67,54,83,73,79,88,14,11,6,15,8,74
248,188942,60,68,66,73,70,76,74,71,82,76,88,93,6,14,10,13,16,81
249,188803,93,91,79,56,75,85,87,89,47,74,70,62,7,7,11,15,13,62
250,187754,85,82,76,53,78,88,87,92,48,84,78,62,6,13,13,8,9,68
251,187072,74,69,84,64,79,83,78,71,65,83,82,70,7,10,13,11,12,73
252,186627,77,82,83,66,70,85,81,70,26,81,66,85,2,2,2,4,2,75
253,186561,67,68,75,58,79,82,81,76,65,81,89,69,6,11,5,10,8,67
254,186153,51,47,77,16,74,22,11,55,49,65,45,65,83,77,74,78,87,71
255,184484,65,66,81,60,84,84,79,72,52,81,86,67,13,8,10,15,12,70
256,184267,86,75,73,46,77,85,91,93,33,86,76,49,13,16,12,7,7,72
257,184200,76,78,74,71,79,85,84,72,53,77,79,84,14,15,10,10,15,68
258,183711,73,71,70,65,83,80,74,73,76,78,93,76,7,13,7,9,13,81
259,183574,74,69,84,63,82,86,82,75,39,86,76,69,12,7,5,13,9,66
260,183497,44,34,83,24,70,23,15,45,39,22,33,66,80,83,70,80,84,64
261,183376,52,54,57,73,66,71,68,56,81,75,88,83,14,12,13,11,14,73
262,182494,60,62,75,12,75,23,25,68,61,63,45,68,81,75,75,83,85,84
263,181786,49,65,51,83,67,73,65,57,82,78,80,84,15,9,12,14,6,86
264,181291,79,82,75,72,76,84,85,82,66,79,87,71,16,6,14,12,6,82
265,179847,31,30,41,89,54,72,48,29,84,83,69,90,8,9,12,11,14,40
266,178509,51,55,81,90,70,82,72,59,38,78,74,90,12,15,11,6,5,82
267,178372,63,61,61,85,68,66,58,57,82,81,78,85,15,9,13,11,13,83
268,178224,84,75,80,82,66,79,76,81,31,81,68,53,14,12,9,12,11,82
269,177600,65,52,75,47,84,80,73,71,66,73,79,70,16,10,14,6,13,59
270,177457,66,69,64,78,73,75,72,65,82,83,86,76,12,6,7,12,7,77
271,177413,67,74,74,77,77,85,83,82,73,86,85,79,5,7,7,10,7,72
272,176600,88,86,82,67,75,80,76,82,35,85,76,64,6,10,8,8,6,84
273,174543,58,54,80,18,87,41,22,64,56,60,44,70,80,80,87,77,81,81
274,172723,52,58,81,12,73,24,16,53,55,62,36,80,81,81,73,79,82,38
275,171919,67,70,69,91,63,68,60,50,84,84,62,82,14,10,14,8,14,41
276,171833,74,78,82,73,69,81,80,75,25,81,68,71,7,15,9,5,13,72
277,169595,80,81,63,62,73,76,79,73,81,73,81,74,10,11,8,13,13,75
278,169416,87,81,79,64,77,81,82,86,25,79,68,68,8,14,8,13,10,69
279,168354,30,33,84,13,79,22,18,35,32,64,29,58,81,84,79,78,83,66
280,167431,73,69,72,52,83,82,80,83,72,83,78,65,14,8,13,10,15,73
281,165239,78,78,76,42,81,85,83,85,38,82,75,63,1,1,1,1,1,50
282,163824,62,67,43,78,56,66,57,58,81,73,70,86,7,10,16,7,10,82
283,163631,73,68,71,74,80,80,78,74,80,81,81,64,8,15,10,13,12,71
284,163489,48,34,83,10,72,23,10,57,40,50,31,51,82,83,72,81,84,80
285,162347,73,65,75,70,81,82,81,79,70,86,84,64,13,15,15,13,13,79
286,158121,49,53,80,15,78,12,13,38,51,53,28,65,82,80,78,82,84,49
287,157481,57,57,41,77,57,67,54,53,84,73,62,82,8,6,5,9,8,77
288,150724,59,60,78,10,75,20,23,50,60,63,28,61,81,78,75,80,83,69
289,150418,68,75,82,83,62,75,74,63,28,85,69,86,8,8,9,7,14,76
290,146760,76,87,58,59,75,79,77,75,78,74,82,74,11,14,10,15,7,68
291,144622,77,68,79,63,80,87,87,84,41,79,74,63,12,10,5,13,14,71
292,143745,75,68,73,70,81,86,85,82,61,83,69,70,11,7,11,12,11,78
293,135507,73,73,73,55,76,78,77,77,77,73,80,75,12,11,5,13,7,72
294,113422,72,67,83,67,74,85,83,75,31,83,76,66,8,9,9,11,9,67
295,108080,76,78,59,72,73,75,76,77,80,80,83,72,4,3,2,3,2,75
296,104389,40,46,81,16,72,23,11,35,43,55,31,70,78,81,72,87,85,59
297,231677,93,92,77,68,73,80,84,90,38,74,83,73,11,6,15,7,14,63
298,230666,89,85,79,66,71,85,87,93,26,84,84,63,13,8,6,6,15,75
299,227928,91,92,57,58,68,78,80,88,76,75,90,59,16,12,10,14,12,80
300,227055,95,94,70,51,73,83,85,94,44,84,87,48,12,9,7,6,9,65
301,222737,86,80,76,57,78,83,84,93,26,76,74,63,8,14,15,7,9,58
302,222028,74,67,50,63,76,81,73,77,76,80,82,63,6,14,16,11,7,64
303,220793,65,76,47,81,50,64,54,62,81,72,79,86,9,7,10,6,15,74
304,217699,66,72,77,91,67,75,73,64,47,78,87,84,10,9,6,15,11,87
305,216354,78,69,81,69,70,84,86,79,26,77,76,68,8,14,14,7,15,69
306,216352,72,74,73,62,79,84,81,74,68,78,83,62,8,8,15,11,8,68
307,216201,92,94,78,67,73,81,82,78,34,71,77,84,14,15,14,10,13,84
308,216194,57,40,58,46,74,81,66,67,73,71,88,74,6,14,14,6,11,65
309,213661,70,73,31,79,62,72,68,63,84,74,69,72,10,12,8,6,8,74
310,212622,76,65,67,69,82,83,77,83,77,78,85,65,8,15,7,15,15,79
311,211368,94,92,71,52,73,83,86,93,34,73,79,57,11,13,8,12,8,78
312,210935,85,85,80,62,76,86,84,87,30,74,80,65,5,6,5,5,6,66
313,210008,72,68,72,75,78,82,79,75,73,81,80,78,9,12,9,7,15,72
314,209889,83,72,75,61,81,83,83,88,74,75,77,54,12,6,8,11,8,64
315,208830,91,91,79,64,63,76,76,78,51,79,88,68,15,14,7,15,11,74
316,208670,74,77,74,53,86,80,79,77,52,78,77,59,11,7,11,8,14,42
317,207599,73,72,49,84,64,71,66,63,82,75,79,88,16,7,8,14,11,83
318,205498,74,75,64,56,81,84,77,82,70,75,83,58,14,7,13,14,8,61
319,203747,96,94,51,60,69,79,76,84,75,72,87,62,8,14,14,13,12,65
320,203042,38,43,83,12,72,26,21,48,41,59,35,63,81,83,72,78,85,61
321,202685,79,79,80,81,59,80,76,77,38,68,76,86,7,13,9,7,9,89
322,202371,72,80,74,72,75,80,81,63,79,78,92,85,8,13,15,6,9,72
323,201995,94,91,75,44,77,86,87,90,53,82,78,53,12,10,9,5,7,44
324,201400,74,74,77,55,79,84,87,80,62,76,73,66,11,6,15,13,7,73
325,200724,72,80,37,80,65,74,55,60,81,73,79,78,12,7,10,15,7,81
326,199987,54,50,83,12,74,32,12,48,52,56,40,67,79,83,74,81,77,71
327,199564,76,78,64,62,80,80,74,69,79,72,78,75,14,16,11,15,10,52
328,199451,84,83,79,74,75,83,85,91,34,82,76,57,6,13,9,7,7,85
329,199354,80,81,82,68,76,82,81,74,31,76,73,73,14,8,8,10,10,65
330,199189,77,77,73,65,77,87,85,70,55,80,74,82,9,14,12,6,10,63
331,198951,86,88,78,71,72,82,80,80,35,73,72,79,6,13,6,14,6,78
332,198717,89,90,71,43,71,86,88,89,33,76,78,73,15,10,15,11,10,50
333,198141,78,77,52,82,70,78,70,73,82,76,66,68,10,15,13,12,8,86
334,197853,84,84,66,75,73,77,76,76,78,75,87,81,7,10,15,16,9,93
335,197655,50,64,40,80,53,63,65,33,81,74,79,93,16,13,15,16,13,62
