,ID,name,full_name,club,age,league,nationality,eur_value,eur_wage,eur_release_clause,overall,potential,position,preferred_foot
14,177003,L. Modrić,Luka Modrić,Real Madrid CF,31,Spanish Primera División,Croatia,57000000.0,340000.0,116900000.0,89,89,mid,Right
15,173731,G. Bale,Gareth Bale,Real Madrid CF,27,Spanish Primera División,Wales,69500000.0,370000.0,142500000.0,89,89,wing,Left
16,153079,S. Agüero,Sergio Agüero,Manchester City,29,English Premier League,Argentina,66500000.0,325000.0,123000000.0,89,89,st,Right
17,138956,G. Chiellini,Giorgio Chiellini,Juventus,32,Italian Serie A,Italy,38000000.0,225000.0,62700000.0,89,89,cb,Left
18,1179,G. Buffon,Gianluigi Buffon,Juventus,39,Italian Serie A,Italy,4500000.0,110000.0,7400000.0,89,89,gk,Right
19,211110,P. Dybala,Paulo Dybala,Juventus,23,Italian Serie A,Argentina,79000000.0,215000.0,136300000.0,88,93,f_mid,Left
20,200389,J. Oblak,Jan Oblak,Atlético Madrid,24,Spanish Primera División,Slovenia,57000000.0,82000.0,121100000.0,88,93,gk,Right
21,194765,A. Griezmann,Antoine Griezmann,Atlético Madrid,26,Spanish Primera División,France,75000000.0,150000.0,159400000.0,88,91,wing,Left
22,189509,Thiago,Thiago Alcântara,FC Bayern Munich,26,German Bundesliga,Spain,70500000.0,225000.0,121600000.0,88,90,mid,Right
23,188567,P. Aubameyang,Pierre-Emerick Aubameyang,Borussia Dortmund,28,German Bundesliga,Gabon,61000000.0,165000.0,103700000.0,88,88,st,Right
24,184344,L. Bonucci,Leonardo Bonucci,Milan,30,Italian Serie A,Italy,44000000.0,210000.0,74800000.0,88,88,cb,Right
25,183907,J. Boateng,Jérôme Boateng,FC Bayern Munich,28,German Bundesliga,Germany,48000000.0,215000.0,79200000.0,88,88,cb,Right
26,182493,D. Godín,Diego Godín,Atlético Madrid,31,Spanish Primera División,Uruguay,40000000.0,125000.0,82000000.0,88,88,cb,Right
27,178603,M. Hummels,Mats Hummels,FC Bayern Munich,28,German Bundesliga,Germany,48000000.0,215000.0,79200000.0,88,88,cb,Right
28,176635,M. Özil,Mesut Özil,Arsenal,28,English Premier League,Germany,60000000.0,265000.0,111000000.0,88,88,f_mid,Left
29,167948,H. Lloris,Hugo Lloris,Tottenham Hotspur,30,English Premier League,France,38000000.0,165000.0,72200000.0,88,88,gk,Left
30,164240,Thiago Silva,Thiago Emiliano da Silva,Paris Saint-Germain,32,French Ligue 1,Brazil,34000000.0,175000.0,62900000.0,88,88,cb,Right
31,41236,Z. Ibrahimović,Zlatan Ibrahimović,Manchester United,35,English Premier League,Sweden,27000000.0,240000.0,50000000.0,88,88,st,Right
32,9014,A. Robben,Arjen Robben,FC Bayern Munich,33,German Bundesliga,Netherlands,36000000.0,225000.0,59400000.0,88,88,mid,Left
33,215914,N. Kanté,N'Golo Kanté,Chelsea,26,English Premier League,France,52500000.0,190000.0,101100000.0,87,90,mid,Right
34,199556,M. Verratti,Marco Verratti,Paris Saint-Germain,24,French Ligue 1,Italy,64500000.0,130000.0,124200000.0,87,91,mid,Right
35,195864,P. Pogba,Paul Pogba,Manchester United,24,English Premier League,France,66500000.0,195000.0,128000000.0,87,92,mid,Right
36,190460,C. Eriksen,Christian Eriksen,Tottenham Hotspur,25,English Premier League,Denmark,65000000.0,165000.0,128400000.0,87,91,mid,Right
37,181872,A. Vidal,Arturo Vidal,FC Bayern Munich,30,German Bundesliga,Chile,37500000.0,160000.0,61900000.0,87,87,mid,Right
38,179813,E. Cavani,Edinson Cavani,Paris Saint-Germain,30,French Ligue 1,Uruguay,48500000.0,160000.0,89700000.0,87,87,st,Right
39,176676,Marcelo,Marcelo Vieira da Silva,Real Madrid CF,29,Spanish Primera División,Brazil,38000000.0,250000.0,77900000.0,87,87,wb,Left
40,171877,M. Hamšík,Marek Hamšík,Napoli,29,Italian Serie A,Slovakia,48500000.0,130000.0,82500000.0,87,87,mid,Right
41,168651,I. Rakitić,Ivan Rakitić,FC Barcelona,29,Spanish Primera División,Croatia,48500000.0,275000.0,99400000.0,87,87,mid,Right
42,168542,David Silva,David Josué Jiménez Silva,Manchester City,31,English Premier League,Spain,44000000.0,220000.0,81400000.0,87,87,mid,Left
43,162835,S. Handanovič,Samir Handanovič,Inter,32,Italian Serie A,Slovenia,29000000.0,91000.0,49300000.0,87,87,gk,Right
44,152729,Piqué,Gerard Piqué Bernabeu,FC Barcelona,30,Spanish Primera División,Spain,37500000.0,240000.0,76900000.0,87,87,cb,Right
45,41,Iniesta,Andrés Iniesta Luján,FC Barcelona,33,Spanish Primera División,Spain,29500000.0,260000.0,60500000.0,87,87,mid,Right
46,202126,H. Kane,Harry Kane,Tottenham Hotspur,23,English Premier League,England,59000000.0,165000.0,116500000.0,86,90,st,Right
47,198710,J. Rodríguez,James Rodríguez,FC Bayern Munich,25,German Bundesliga,Colombia,56000000.0,250000.0,,86,89,mid,Left
48,197781,Isco,Francisco Román Alarcón Suárez,Real Madrid CF,25,Spanish Primera División,Spain,56500000.0,250000.0,120100000.0,86,90,mid,Right
49,197445,D. Alaba,David Alaba,FC Bayern Munich,25,German Bundesliga,Austria,44500000.0,150000.0,76800000.0,86,88,cb,Left
50,192505,R. Lukaku,Romelu Lukaku,Manchester United,24,English Premier League,Belgium,59000000.0,210000.0,113600000.0,86,90,st,Left
51,191043,Alex Sandro,Alex Sandro Lobo Silva,Juventus,26,Italian Serie A,Brazil,44000000.0,175000.0,75900000.0,86,88,wb,Left
52,189596,T. Müller,Thomas Müller,FC Bayern Munich,27,German Bundesliga,Germany,47500000.0,190000.0,78400000.0,86,86,f_mid,Right
53,189511,Sergio Busquets,Sergio Busquets Burgos,FC Barcelona,28,Spanish Primera División,Spain,36000000.0,250000.0,73800000.0,86,86,mid,Right
54,189242,Coutinho,Philippe Coutinho Correia,Liverpool,25,English Premier League,Brazil,56000000.0,205000.0,110600000.0,86,89,f_mid,Right
55,188350,M. Reus,Marco Reus,Borussia Dortmund,28,German Bundesliga,Germany,45000000.0,120000.0,76500000.0,86,86,mid,Right
56,184087,T. Alderweireld,Toby Alderweireld,Tottenham Hotspur,28,English Premier League,Belgium,40500000.0,165000.0,80000000.0,86,87,cb,Right
57,179944,David Luiz,David Luiz Moreira Marinho,Chelsea,30,English Premier League,Brazil,33000000.0,190000.0,61100000.0,86,86,cb,Right
58,179844,Diego Costa,Diego da Silva Costa,Chelsea,28,English Premier League,Spain,46000000.0,235000.0,85100000.0,86,86,st,Right
59,178518,R. Nainggolan,Radja Nainggolan,Roma,29,Italian Serie A,Belgium,42500000.0,130000.0,72300000.0,86,86,mid,Right
60,177610,Javi Martínez,Javier Martínez Aginaga,FC Bayern Munich,28,German Bundesliga,Spain,36000000.0,165000.0,59400000.0,86,86,cb,Right
61,175943,D. Mertens,Dries Mertens,Napoli,30,Italian Serie A,Belgium,43000000.0,135000.0,73100000.0,86,86,wing,Right
62,172879,Sokratis,Sokratis Papastathopoulos,Borussia Dortmund,29,German Bundesliga,Greece,34500000.0,110000.0,58700000.0,86,86,cb,Right
63,168609,Miranda,João Miranda de Souza Filho,Inter,32,Italian Serie A,Brazil,25500000.0,115000.0,43400000.0,86,86,cb,Right
64,165153,K. Benzema,Karim Benzema,Real Madrid CF,29,Spanish Primera División,France,44500000.0,295000.0,91200000.0,86,86,st,Right
65,162895,Cesc Fàbregas,Francesc Fàbregas i Soler,Chelsea,30,English Premier League,Spain,41000000.0,210000.0,75900000.0,86,86,mid,Right
66,156616,F. Ribéry,Franck Ribéry,FC Bayern Munich,34,German Bundesliga,France,22500000.0,175000.0,37100000.0,86,86,mid,Right
67,120533,Pepe,Képler Laveran Lima Ferreira,Beşiktaş JK,34,Turkish Süper Lig,Portugal,13500000.0,94000.0,25700000.0,86,86,cb,Right
68,48940,P. Čech,Petr Čech,Arsenal,35,English Premier League,Czech Republic,10500000.0,92000.0,19400000.0,86,86,gk,Left
69,208418,Y. Carrasco,Yannick Carrasco,Atlético Madrid,23,Spanish Primera División,Belgium,51500000.0,77000.0,109400000.0,85,90,mid,Right
70,201535,R. Varane,Raphaël Varane,Real Madrid CF,24,Spanish Primera División,France,46500000.0,175000.0,104600000.0,85,92,cb,Right
71,201153,Morata,Álvaro Borja Morata Martín,Chelsea,24,English Premier League,Spain,51000000.0,170000.0,98200000.0,85,89,st,Right
72,200145,Casemiro,Carlos Henrique Venancio Casimiro,Real Madrid CF,25,Spanish Primera División,Brazil,42000000.0,195000.0,89300000.0,85,89,mid,Right
73,198219,L. Insigne,Lorenzo Insigne,Napoli,26,Italian Serie A,Italy,45000000.0,115000.0,79900000.0,85,86,wing,Right
74,193747,Koke,Jorge Resurrección,Atlético Madrid,25,Spanish Primera División,Spain,47500000.0,84000.0,100900000.0,85,88,mid,Right
75,193301,A. Lacazette,Alexandre Lacazette,Arsenal,26,English Premier League,France,48500000.0,180000.0,93400000.0,85,88,st,Right
76,193041,K. Navas,Keylor Navas,Real Madrid CF,30,Spanish Primera División,Costa Rica,24500000.0,165000.0,50200000.0,85,85,gk,Right
77,192883,H. Mkhitaryan,Henrikh Mkhitaryan,Manchester United,28,English Premier League,Armenia,39000000.0,195000.0,72200000.0,85,85,mid,Right
78,192593,D. Subašić,Danijel Subašić,AS Monaco,32,French Ligue 1,Croatia,22000000.0,46000.0,41800000.0,85,85,gk,Right
79,192563,B. Leno,Bernd Leno,Bayer 04 Leverkusen,25,German Bundesliga,Germany,34000000.0,61000.0,60400000.0,85,88,gk,Right
80,192448,M. ter Stegen,Marc-André ter Stegen,FC Barcelona,25,Spanish Primera División,Germany,35500000.0,155000.0,75400000.0,85,89,gk,Right
81,190547,K. Glik,Kamil Glik,AS Monaco,29,French Ligue 1,Poland,30000000.0,60000.0,57000000.0,85,85,cb,Right
82,189332,Jordi Alba,Jordi Alba Ramos,FC Barcelona,28,Spanish Primera División,Spain,30500000.0,215000.0,62500000.0,85,85,wb,Left
83,186942,I. Gündoğan,İlkay Gündoğan,Manchester City,26,English Premier League,Germany,46000000.0,190000.0,88600000.0,85,87,mid,Right
84,184432,Azpilicueta,César Azpilicueta Tanco,Chelsea,27,English Premier League,Spain,37500000.0,160000.0,72200000.0,85,87,cb,Right
85,183898,A. Di María,Ángel Di María,Paris Saint-Germain,29,French Ligue 1,Argentina,37500000.0,145000.0,69400000.0,85,85,wing,Left
86,180206,M. Pjanić,Miralem Pjanić,Juventus,27,Italian Serie A,Bosnia Herzegovina,43500000.0,160000.0,75000000.0,85,86,mid,Right
87,173210,C. Marchisio,Claudio Marchisio,Juventus,31,Italian Serie A,Italy,33000000.0,160000.0,54500000.0,85,85,mid,Right
88,172871,J. Vertonghen,Jan Vertonghen,Tottenham Hotspur,30,English Premier League,Belgium,28500000.0,130000.0,54200000.0,85,85,cb,Left
89,170890,B. Matuidi,Blaise Matuidi,Juventus,30,Italian Serie A,France,28500000.0,145000.0,47000000.0,85,85,mid,Left
90,167628,S. Ruffier,Stéphane Ruffier,AS Saint-Étienne,30,French Ligue 1,France,24500000.0,49000.0,46600000.0,85,85,gk,Right
91,164169,Filipe Luís,Filipe Luís Kasmirski,Atlético Madrid,31,Spanish Primera División,Brazil,25000000.0,81000.0,51300000.0,85,85,wb,Left
92,139720,V. Kompany,Vincent Kompany,Manchester City,31,English Premier League,Belgium,26000000.0,170000.0,48100000.0,85,85,cb,Right
93,137186,A. Barzagli,Andrea Barzagli,Juventus,36,Italian Serie A,Italy,5000000.0,105000.0,8300000.0,85,85,cb,Right
94,225508,E. Bailly,Eric Bailly,Manchester United,23,English Premier League,Ivory Coast,35500000.0,150000.0,68300000.0,84,89,cb,Right
95,220834,Marco Asensio,Marco Asensio Willemsen,Real Madrid CF,21,Spanish Primera División,Spain,46000000.0,175000.0,103500000.0,84,92,f_mid,Left
96,218667,Bernardo Silva,Bernardo Mota Carvalho e Silva,Manchester City,22,English Premier League,Portugal,43500000.0,165000.0,89200000.0,84,91,mid,Left
97,212218,A. Laporte,Aymeric Laporte,Athletic Club de Bilbao,23,Spanish Primera División,France,35500000.0,36000.0,77200000.0,84,89,cb,Left
98,211117,D. Alli,Dele Alli,Tottenham Hotspur,21,English Premier League,England,43000000.0,115000.0,90300000.0,84,90,mid,Right
99,208722,S. Mané,Sadio Mané,Liverpool,25,English Premier League,Senegal,39000000.0,175000.0,77000000.0,84,87,wing,Right
100,204963,Carvajal,Daniel Carvajal Ramos,Real Madrid CF,25,Spanish Primera División,Spain,32000000.0,195000.0,68000000.0,84,87,wb,Right
101,202166,J. Draxler,Julian Draxler,Paris Saint-Germain,23,French Ligue 1,Germany,39500000.0,120000.0,76000000.0,84,87,mid,Right
102,201399,M. Icardi,Mauro Icardi,Inter,24,Italian Serie A,Argentina,42000000.0,105000.0,74600000.0,84,89,st,Right
103,201024,K. Koulibaly,Kalidou Koulibaly,Napoli,26,Italian Serie A,Senegal,32500000.0,96000.0,57700000.0,84,87,cb,Right
104,200316,T. Horn,Timo Horn,1. FC Köln,24,German Bundesliga,Germany,31000000.0,39000.0,58900000.0,84,90,gk,Left
105,192774,K. Manolas,Kostas Manolas,Roma,26,Italian Serie A,Greece,31500000.0,96000.0,55900000.0,84,86,cb,Right
106,192227,S. Mustafi,Shkodran Mustafi,Arsenal,25,English Premier League,Germany,31500000.0,145000.0,60600000.0,84,86,cb,Right
107,191740,Ander Herrera,Ander Herrera Agüera,Manchester United,27,English Premier League,Spain,32000000.0,190000.0,59200000.0,84,84,mid,Right
108,191202,N. Matić,Nemanja Matić,Manchester United,28,English Premier League,Serbia,25000000.0,180000.0,46300000.0,84,84,mid,Left
109,189712,K. Strootman,Kevin Strootman,Roma,27,Italian Serie A,Netherlands,35000000.0,105000.0,62100000.0,84,85,mid,Left
110,189505,Pedro,Pedro Rodríguez Ledesma,Chelsea,29,English Premier League,Spain,30500000.0,200000.0,56400000.0,84,84,wing,Right
111,189117,R. Bürki,Roman Bürki,Borussia Dortmund,26,German Bundesliga,Switzerland,26000000.0,69000.0,46200000.0,84,86,gk,Right
112,184120,Bruno,Bruno Soriano Llido,Villarreal CF,33,Spanish Primera División,Spain,18500000.0,59000.0,38900000.0,84,84,mid,Left
113,181458,I. Perišić,Ivan Perišić,Inter,28,Italian Serie A,Croatia,31500000.0,110000.0,53600000.0,84,84,mid,Right
114,180930,E. Džeko,Edin Džeko,Roma,31,Italian Serie A,Bosnia Herzegovina,28000000.0,115000.0,47600000.0,84,84,st,Right
115,180403,Willian,Willian Borges da Silva,Chelsea,28,English Premier League,Brazil,31500000.0,200000.0,58300000.0,84,84,mid,Right
116,179846,S. Khedira,Sami Khedira,Juventus,30,Italian Serie A,Germany,29000000.0,160000.0,47900000.0,84,84,mid,Right
117,179783,R. Fährmann,Ralf Fährmann,FC Schalke 04,28,German Bundesliga,Germany,25000000.0,54000.0,44400000.0,84,85,gk,Right
118,178750,Sergio Asenjo,Sergio Asenjo Andrés,Villarreal CF,28,Spanish Primera División,Spain,25000000.0,46000.0,54400000.0,84,85,gk,Right
119,178088,Juan Mata,Juan Manuel Mata García,Manchester United,29,English Premier League,Spain,30500000.0,195000.0,56400000.0,84,84,mid,Left
120,177509,M. Benatia,Medhi Benatia,Juventus,30,Italian Serie A,Morocco,23000000.0,145000.0,38000000.0,84,84,cb,Right
121,167397,Falcao,Radamel Falcao García Zarate,AS Monaco,31,French Ligue 1,Colombia,28000000.0,68000.0,53200000.0,84,84,st,Right
122,165229,L. Koscielny,Laurent Koscielny,Arsenal,31,English Premier League,France,21000000.0,150000.0,38900000.0,84,84,cb,Right
123,164468,G. Cahill,Gary Cahill,Chelsea,31,English Premier League,England,21000000.0,160000.0,38900000.0,84,84,cb,Right
124,146530,Dani Alves,Daniel Alves da Silva,Paris Saint-Germain,34,French Ligue 1,Brazil,9000000.0,115000.0,16700000.0,84,84,wb,Right
125,143076,A. Gómez,Alejandro Gómez,Atalanta,29,Italian Serie A,Argentina,31000000.0,60000.0,52700000.0,84,84,wing,Right
126,106231,Aduriz,Aritz Aduriz Zubeldia,Athletic Club de Bilbao,36,Spanish Primera División,Spain,11000000.0,38000.0,23100000.0,84,84,st,Right
127,231747,K. Mbappé,Kylian Mbappé,Paris Saint-Germain,18,French Ligue 1,France,41500000.0,31000.0,,83,94,st,Right
128,231443,O. Dembélé,Ousmane Dembélé,FC Barcelona,20,Spanish Primera División,France,40000000.0,150000.0,90000000.0,83,92,wing,Left
129,220971,N. Keïta,Naby Keïta,RB Leipzig,22,German Bundesliga,Guinea,34000000.0,68000.0,60400000.0,83,88,mid,Right
130,216460,J. Giménez,José María Giménez,Atlético Madrid,22,Spanish Primera División,Uruguay,28500000.0,53000.0,60600000.0,83,87,cb,Right
131,215316,G. Rulli,Gerónimo Rulli,Real Sociedad,25,Spanish Primera División,Argentina,25500000.0,28000.0,58700000.0,83,89,gk,Right
132,213565,T. Lemar,Thomas Lemar,AS Monaco,21,French Ligue 1,France,38500000.0,37000.0,80900000.0,83,91,mid,Left
133,212814,João Mário,João Mário Naval Costa Eduardo,Inter,24,Italian Serie A,Portugal,34000000.0,70000.0,60400000.0,83,88,mid,Right
134,212190,N. Süle,Niklas Süle,FC Bayern Munich,21,German Bundesliga,Germany,30500000.0,78000.0,56400000.0,83,89,cb,Right
135,210257,Ederson,Ederson Santana de Moraes,Manchester City,23,English Premier League,Brazil,26000000.0,87000.0,53300000.0,83,89,gk,Left
136,209658,L. Goretzka,Leon Goretzka,FC Schalke 04,22,German Bundesliga,Germany,34000000.0,46000.0,60400000.0,83,88,mid,Right
137,209499,Fabinho,Fábio Henrique Tavares,AS Monaco,23,French Ligue 1,Brazil,29500000.0,37000.0,58300000.0,83,88,mid,Right
138,209331,M. Salah,Mohamed Salah,Liverpool,25,English Premier League,Egypt,32500000.0,135000.0,64200000.0,83,86,wing,Left
139,208596,A. Belotti,Andrea Belotti,Torino,23,Italian Serie A,Italy,37000000.0,58000.0,70300000.0,83,90,st,Right
140,208448,E. Forsberg,Emil Forsberg,RB Leipzig,25,German Bundesliga,Sweden,31500000.0,75000.0,55900000.0,83,85,mid,Right
141,207865,Marquinhos,Marcos Aoas Corrêa,Paris Saint-Germain,23,French Ligue 1,Brazil,30500000.0,75000.0,62500000.0,83,89,cb,Right
142,207566,William Carvalho,William Silva de Carvalho,Sporting CP,25,Portuguese Primeira Liga,Portugal,27500000.0,21000.0,57100000.0,83,86,mid,Right
143,205600,S. Umtiti,Samuel Umtiti,FC Barcelona,23,Spanish Primera División,France,29500000.0,135000.0,62700000.0,83,88,cb,Left
144,204485,R. Mahrez,Riyad Mahrez,Leicester City,26,English Premier League,Algeria,30500000.0,88000.0,60200000.0,83,84,mid,Left
145,203376,V. van Dijk,Virgil van Dijk,Southampton,25,English Premier League,Netherlands,27500000.0,89000.0,54300000.0,83,86,cb,Right
146,201942,Roberto Firmino,Roberto Firmino Barbosa de Oliveira,Liverpool,25,English Premier League,Brazil,33000000.0,135000.0,65200000.0,83,86,f_mid,Right
147,200888,Danilo Pereira,Danilo Luís Hélio Pereira,FC Porto,25,Portuguese Primeira Liga,Portugal,27500000.0,18000.0,57100000.0,83,86,cb,Right
148,199715,Vitolo,Víctor Machín Pérez,UD Las Palmas,27,Spanish Primera División,Spain,27000000.0,68000.0,,83,83,mid,Right
149,199482,A. Lopes,Anthony Lopes,Olympique Lyonnais,26,French Ligue 1,Portugal,21500000.0,60000.0,42500000.0,83,85,gk,Left
150,198176,S. de Vrij,Stefan de Vrij,Lazio,25,Italian Serie A,Netherlands,29000000.0,56000.0,51500000.0,83,88,cb,Right
151,198009,M. Perin,Mattia Perin,Genoa,24,Italian Serie A,Italy,25000000.0,28000.0,44400000.0,83,88,gk,Right
152,197061,J. Matip,Joel Matip,Liverpool,25,English Premier League,Cameroon,26500000.0,110000.0,52300000.0,83,85,cb,Right
153,193474,I. Gueye,Idrissa Gueye,Everton,27,English Premier League,Senegal,24500000.0,115000.0,48400000.0,83,84,mid,Right
154,192629,Iago Aspas,Iago Aspas Juncal,RC Celta de Vigo,29,Spanish Primera División,Spain,26000000.0,39000.0,54600000.0,83,83,wing,Left
155,192387,C. Immobile,Ciro Immobile,Lazio,27,Italian Serie A,Italy,30500000.0,70000.0,54100000.0,83,84,st,Right
156,192366,N. Otamendi,Nicolás Otamendi,Manchester City,29,English Premier League,Argentina,20000000.0,140000.0,37000000.0,83,83,cb,Right
157,191180,J. Pastore,Javier Pastore,Paris Saint-Germain,28,French Ligue 1,Argentina,25500000.0,100000.0,47200000.0,83,83,mid,Right
158,189513,Parejo,Daniel Parejo Muñoz,Valencia CF,28,Spanish Primera División,Spain,25500000.0,45000.0,53600000.0,83,83,mid,Right
159,189358,S. Kagawa,Shinji Kagawa,Borussia Dortmund,28,German Bundesliga,Japan,26000000.0,75000.0,44200000.0,83,83,f_mid,Right
160,189125,G. Bonaventura,Giacomo Bonaventura,Milan,27,Italian Serie A,Italy,26500000.0,115000.0,45100000.0,83,83,mid,Right
161,189068,B. Dost,Bas Dost,Sporting CP,28,Portuguese Primeira Liga,Netherlands,27000000.0,28000.0,54000000.0,83,83,st,Right
162,188377,K. Walker,Kyle Walker,Manchester City,27,English Premier League,England,24000000.0,130000.0,46200000.0,83,84,wb,Right
163,188152,Oscar,Oscar dos Santos Emboaba,unknown,25,unknown,Brazil,0.0,0.0,,83,86,f_mid,Right
164,187936,S. N'Zonzi,Steven N'Zonzi,Sevilla FC,28,Spanish Primera División,France,21000000.0,25000.0,44100000.0,83,83,mid,Right
165,186547,M. Musacchio,Mateo Musacchio,Milan,26,Italian Serie A,Argentina,27000000.0,105000.0,47900000.0,83,86,cb,Right
166,185239,O. Toprak,Ömer Toprak,Borussia Dortmund,27,German Bundesliga,Turkey,24500000.0,66000.0,43500000.0,83,84,cb,Right
167,185020,José Callejón,José María Callejón Bueno,Napoli,30,Italian Serie A,Spain,24500000.0,87000.0,41700000.0,83,83,wing,Right
168,184826,Adrien Silva,Adrien S. Perruchet Silva,unknown,28,unknown,Portugal,0.0,0.0,,83,83,mid,Right
169,184431,S. Giovinco,Sebastian Giovinco,Toronto FC,30,USA Major League Soccer,Italy,25000000.0,15000.0,37500000.0,83,83,st,Right
170,184144,N. Gaitán,Nicolás Gaitán,Atlético Madrid,29,Spanish Primera División,Argentina,25500000.0,70000.0,52300000.0,83,83,mid,Left
171,181783,M. Mandžukić,Mario Mandžukić,Juventus,31,Italian Serie A,Croatia,23500000.0,135000.0,38800000.0,83,83,mid,Right
172,180819,A. Lallana,Adam Lallana,Liverpool,29,English Premier League,England,25000000.0,135000.0,47500000.0,83,83,mid,Right
173,179784,B. Höwedes,Benedikt Höwedes,Juventus,29,Italian Serie A,Germany,20000000.0,50000.0,,83,83,cb,Right
174,178562,E. Banega,Éver Banega,Sevilla FC,29,Spanish Primera División,Argentina,25500000.0,27000.0,53600000.0,83,83,mid,Right
175,178005,Rui Patrício,Rui Pedro dos Santos Patrício,Sporting CP,29,Portuguese Primeira Liga,Portugal,17500000.0,19000.0,35000000.0,83,83,gk,Left
176,177683,Y. Sommer,Yann Sommer,Borussia Mönchengladbach,28,German Bundesliga,Switzerland,21000000.0,39000.0,37300000.0,83,84,gk,Right
177,177388,D. Payet,Dimitri Payet,Olympique de Marseille,30,French Ligue 1,France,24500000.0,46000.0,46600000.0,83,83,f_mid,Right
178,177358,M. Schneiderlin,Morgan Schneiderlin,Everton,27,English Premier League,France,24500000.0,115000.0,48400000.0,83,84,mid,Right
179,176769,Jonas,Jonas Gonçalves Oliveira,SL Benfica,33,Portuguese Primeira Liga,Brazil,16500000.0,21000.0,33000000.0,83,83,st,Right
180,173771,L. Piszczek,Łukasz Piszczek,Borussia Dortmund,32,German Bundesliga,Poland,14500000.0,66000.0,24700000.0,83,83,cb,Right
181,170481,E. Garay,Ezequiel Garay,Valencia CF,30,Spanish Primera División,Argentina,19000000.0,40000.0,39900000.0,83,83,cb,Right
182,167905,A. Valencia,Antonio Valencia,Manchester United,31,English Premier League,Ecuador,17000000.0,130000.0,31500000.0,83,83,wb,Right
183,163587,K. Schmeichel,Kasper Schmeichel,Leicester City,30,English Premier League,Denmark,19000000.0,65000.0,37500000.0,83,84,gk,Right
184,162240,M. Dembélé,Moussa Dembélé,Tottenham Hotspur,29,English Premier League,Belgium,25000000.0,115000.0,47500000.0,83,83,mid,Left
185,161956,Borja Valero,Borja Valero Iglesias,Inter,32,Italian Serie A,Spain,20000000.0,80000.0,34000000.0,83,83,mid,Right
186,159147,L. Perrin,Loïc Perrin,AS Saint-Étienne,31,French Ligue 1,France,17500000.0,46000.0,33300000.0,83,83,cb,Right
187,158963,L. Biglia,Lucas Biglia,Milan,31,Italian Serie A,Argentina,17500000.0,105000.0,29800000.0,83,83,mid,Right
188,146748,Diego López,Diego López Rodríguez,RCD Espanyol,35,Spanish Primera División,Spain,6000000.0,19000.0,12600000.0,83,83,gk,Right
189,146562,Santi Cazorla,Santiago Cazorla González,Arsenal,32,English Premier League,Spain,19500000.0,130000.0,36100000.0,83,83,mid,Right
190,142754,J. Mascherano,Javier Mascherano,FC Barcelona,33,Spanish Primera División,Argentina,10500000.0,155000.0,21500000.0,83,83,cb,Right
191,139869,W. Sneijder,Wesley Sneijder,OGC Nice,33,French Ligue 1,Netherlands,15500000.0,47000.0,29500000.0,83,83,f_mid,Right
192,139068,Nani,Luís Carlos Almeida da Cunha,Lazio,30,Italian Serie A,Portugal,24500000.0,47000.0,,83,83,mid,Right
193,53302,D. De Rossi,Daniele De Rossi,Roma,33,Italian Serie A,Italy,10500000.0,73000.0,17900000.0,83,83,mid,Right
